work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,work_status,v1_anomaly_score,cost_anomaly_score,delay_anomaly_score,duplicate_score,fund_utilization_score,v1_contrib,cost_contrib,delay_contrib,duplicate_contrib,fund_contrib,base_weighted_sum,max_signal,composite_risk_score,risk_level,risk_reasons,geographic_score,agency_score,v2_composite_score,geo_contrib,agency_contrib,real_weighted_sum,real_max_signal,real_composite_risk_score,final_composite_risk_score,unified_explanation
WS/MP18076/2026-2027/146587-Construction of community centers and community halls,Karnataka,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),DR C N MANJUNATH,BANGALORE RURAL,Trust and Society,"Construction of New Building Nammane Summane Destitute Orphanage at No.18 Gangondanahalli, Chammundeshwari Layout, Lakshmipura Post, Dasanapura Hobli, Bengaluru North Taluk, Pin-560073",2024-10-09,2026-08-19,500000.0,679,Sanction,71.0,15.0,100.0,0.0,15.0,21.3,2.25,15.0,0.0,1.5,47.9,100.0,76.6,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 679 days. | 🟠 Category signal: Special entity category 'Trust and Society'.,35.0,45.0,79.2,3.5,4.5,48.05,100.0,76.6,76.6,Recommendation-to-sanction approval delay of 679 days.
WS/MP18308/2025-2026/145119-Construction of buildings for community cultural activities,Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),RAVINDRA DATTARAM WAIKAR,MUMBAI NORTH WEST,Normal/Others,"Construction of sabhagruha near Brook Heaven Building, Shamnagar, Jogeshwari East, Mumbai.",2024-10-02,2026-03-25,1500000.0,539,Sanction,37.3,15.0,100.0,0.0,15.0,11.19,2.25,15.0,0.0,1.5,34.42,100.0,76.6,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 539 days.,95.0,85.0,73.8,9.5,8.5,47.94,100.0,76.6,76.6,Recommendation-to-sanction approval delay of 539 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP792/2025-2026/188276-Lighting of public spaces,Uttar Pradesh,HARDOI(DISTRICT MAGISTRATE HARDOI_IDA),Jai Prakash,HARDOI (SC),Normal/Others,Lighting of public spaces,2025-03-31,2025-04-22,3657000.0,22,Work partially Completed,60.2,15.0,15.0,100.00000000000004,15.0,18.06,2.25,2.25,10.0,1.5,45.83,100.00000000000004,76.6,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,55.0,78.3,8.5,5.5,48.06,100.00000000000004,76.6,76.6,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
"WS/MP18079/2025-2026/182392-Construction of roads, link roads, pathways or any other road with or without drainage system",Karnataka,KALABURAGI(DEPUTY COMMISSIONER GULBARGA_IDA),SAGAR ESHWAR KHANDRE,BIDAR,Normal/Others,construction of cc road,2025-04-23,2026-01-13,600000.0,265,Work partially Completed,29.7,15.0,75.0,100.0,15.0,8.91,2.25,11.25,10.0,1.5,42.63,100.0,76.6,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 265 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,55.0,77.1,8.5,5.5,47.91,100.0,76.6,76.6,Recommendation-to-sanction approval delay of 265 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP18219/2025-2026/137951-Lighting of public spaces,Uttar Pradesh,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),AJENDRA SINGH LODHI,HAMIRPUR_UP,Normal/Others,1.High Mast Light Jeetendra ke makan ke pass.,2024-09-11,2025-06-10,400000.0,272,Vendor Identification,24.7,15.0,75.0,100.00000000000004,15.0,7.41,2.25,11.25,10.0,1.5,40.63,100.00000000000004,76.6,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 272 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,76.3,8.5,7.0,47.91,100.00000000000004,76.6,76.6,Recommendation-to-sanction approval delay of 272 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18124/2025-2026/162344-Construction of community centers and community halls,Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),GAIKWAD VARSHA EKNATH,MUMBAI NORTH-CENTRAL,Normal/Others,Renovation of community center,2025-01-17,2026-01-20,2000000.0,368,Vendor Identification,37.6,15.0,100.0,0.0,15.0,11.28,2.25,15.0,0.0,1.5,34.54,100.0,76.6,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 368 days.,95.0,85.0,73.8,9.5,8.5,48.03,100.0,76.6,76.6,Recommendation-to-sanction approval delay of 368 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18219/2025-2026/137952-Lighting of public spaces,Uttar Pradesh,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),AJENDRA SINGH LODHI,HAMIRPUR_UP,Normal/Others,1.High Mast light Durga mata Mandir ke pass,2024-09-11,2025-06-10,400000.0,272,Vendor Identification,24.7,15.0,75.0,100.00000000000004,15.0,7.41,2.25,11.25,10.0,1.5,40.63,100.00000000000004,76.6,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 272 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,76.3,8.5,7.0,47.91,100.00000000000004,76.6,76.6,Recommendation-to-sanction approval delay of 272 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP017/2026-2027/160023-Construction of road under bridge,Tamil Nadu,"Ranipet(District Collector, Ranipet_2)",S. Jagathrakshakan,ARAKKONAM,Normal/Others,construction of Cement road and bridge near Erimannur village,2024-12-19,2026-06-15,3389297.0,543,Physical Inspection,46.1,15.0,100.0,0.0,15.0,13.83,2.25,15.0,0.0,1.5,37.94,100.0,76.6,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 543 days.,85.0,70.0,75.2,8.5,7.0,48.08,100.0,76.6,76.6,Recommendation-to-sanction approval delay of 543 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18232/2025-2026/157995-Construction of rooms and halls in school and colleges,Uttar Pradesh,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),HARENDRA SINGH MALIK,MUZAFFARNAGAR,Trust and Society,"Construction of two Rooms in Sir Syed Inter College, Khatauli, Muzaffarnagar",2024-12-10,2026-03-28,500000.0,473,Sanction,66.1,15.0,100.0,0.0,15.0,19.83,2.25,15.0,0.0,1.5,45.94,100.0,76.6,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 473 days. | 🟠 Category signal: Special entity category 'Trust and Society'.,50.0,45.0,78.4,5.0,4.5,48.08,100.0,76.6,76.6,Recommendation-to-sanction approval delay of 473 days.
WS/MP243/2025-2026/141123-Providing CCTV camera system for security of public areas,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,BARASAT,Normal/Others,Cc tv camera,2024-09-15,2025-08-22,112000.0,341,Physical Inspection,21.1,15.0,75.0,100.0,15.0,6.33,2.25,11.25,10.0,1.5,39.19,100.0,76.5,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 341 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,70.0,75.7,9.5,7.0,47.83,100.0,76.5,76.5,Recommendation-to-sanction approval delay of 341 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP243/2025-2026/141129-Providing CCTV camera system for security of public areas,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,BARASAT,Normal/Others,Cc tv camera,2024-09-15,2025-08-22,112000.0,341,Physical Inspection,21.1,15.0,75.0,100.0,15.0,6.33,2.25,11.25,10.0,1.5,39.19,100.0,76.5,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 341 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,70.0,75.7,9.5,7.0,47.83,100.0,76.5,76.5,Recommendation-to-sanction approval delay of 341 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP243/2025-2026/141134-Providing CCTV camera system for security of public areas,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,BARASAT,Normal/Others,Cc tv camera,2024-09-15,2025-08-22,112000.0,341,Physical Inspection,21.1,15.0,75.0,100.0,15.0,6.33,2.25,11.25,10.0,1.5,39.19,100.0,76.5,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 341 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,70.0,75.7,9.5,7.0,47.83,100.0,76.5,76.5,Recommendation-to-sanction approval delay of 341 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP243/2025-2026/141133-Providing CCTV camera system for security of public areas,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,BARASAT,Normal/Others,Cc tv camera,2024-09-15,2025-08-22,112000.0,341,Physical Inspection,21.1,15.0,75.0,100.0,15.0,6.33,2.25,11.25,10.0,1.5,39.19,100.0,76.5,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 341 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,70.0,75.7,9.5,7.0,47.83,100.0,76.5,76.5,Recommendation-to-sanction approval delay of 341 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18308/2025-2026/145424-Construction of community centers and community halls,Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),RAVINDRA DATTARAM WAIKAR,MUMBAI NORTH WEST,Normal/Others,"Construction of Sabhamandap Near Shri Krushna Nagar SRA Parisar, Building No.2, Goregaon (E)",2024-10-08,2026-01-20,1800000.0,469,Vendor Identification,37.1,15.0,100.0,0.0,15.0,11.13,2.25,15.0,0.0,1.5,34.34,100.0,76.5,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 469 days.,95.0,85.0,73.7,9.5,8.5,47.88,100.0,76.5,76.5,Recommendation-to-sanction approval delay of 469 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP243/2025-2026/141132-Providing CCTV camera system for security of public areas,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,BARASAT,Normal/Others,Cc tv camera,2024-09-15,2025-08-22,112000.0,341,Physical Inspection,21.1,15.0,75.0,100.0,15.0,6.33,2.25,11.25,10.0,1.5,39.19,100.0,76.5,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 341 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,70.0,75.7,9.5,7.0,47.83,100.0,76.5,76.5,Recommendation-to-sanction approval delay of 341 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP18079/2025-2026/182381-Construction of roads, link roads, pathways or any other road with or without drainage system",Karnataka,KALABURAGI(DEPUTY COMMISSIONER GULBARGA_IDA),SAGAR ESHWAR KHANDRE,BIDAR,Normal/Others,construction of cc road,2025-04-23,2025-12-16,400000.0,237,Work partially Completed,29.4,15.0,75.0,100.0,15.0,8.82,2.25,11.25,10.0,1.5,42.51,100.0,76.5,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 237 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,55.0,77.0,8.5,5.5,47.82,100.0,76.5,76.5,Recommendation-to-sanction approval delay of 237 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP243/2025-2026/141130-Providing CCTV camera system for security of public areas,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,BARASAT,Normal/Others,Cc tv camera,2024-09-15,2025-08-22,112000.0,341,Physical Inspection,21.1,15.0,75.0,100.0,15.0,6.33,2.25,11.25,10.0,1.5,39.19,100.0,76.5,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 341 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,70.0,75.7,9.5,7.0,47.83,100.0,76.5,76.5,Recommendation-to-sanction approval delay of 341 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP243/2025-2026/141127-Providing CCTV camera system for security of public areas,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,BARASAT,Normal/Others,Cc tv camera,2024-09-15,2025-08-22,112000.0,341,Physical Inspection,21.1,15.0,75.0,100.0,15.0,6.33,2.25,11.25,10.0,1.5,39.19,100.0,76.5,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 341 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,70.0,75.7,9.5,7.0,47.83,100.0,76.5,76.5,Recommendation-to-sanction approval delay of 341 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP243/2025-2026/141128-Providing CCTV camera system for security of public areas,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,BARASAT,Normal/Others,Cc tv camera,2024-09-15,2025-08-22,112000.0,341,Physical Inspection,21.1,15.0,75.0,100.0,15.0,6.33,2.25,11.25,10.0,1.5,39.19,100.0,76.5,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 341 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,70.0,75.7,9.5,7.0,47.83,100.0,76.5,76.5,Recommendation-to-sanction approval delay of 341 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP243/2025-2026/141124-Providing CCTV camera system for security of public areas,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,BARASAT,Normal/Others,Cc tv camera,2024-09-15,2025-08-22,112000.0,341,Physical Inspection,21.1,15.0,75.0,100.0,15.0,6.33,2.25,11.25,10.0,1.5,39.19,100.0,76.5,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 341 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,70.0,75.7,9.5,7.0,47.83,100.0,76.5,76.5,Recommendation-to-sanction approval delay of 341 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP243/2025-2026/141126-Providing CCTV camera system for security of public areas,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,BARASAT,Normal/Others,Cc tv camera,2024-09-15,2025-08-22,112000.0,341,Physical Inspection,21.1,15.0,75.0,100.0,15.0,6.33,2.25,11.25,10.0,1.5,39.19,100.0,76.5,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 341 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,70.0,75.7,9.5,7.0,47.83,100.0,76.5,76.5,Recommendation-to-sanction approval delay of 341 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
